"Count";"NC_Id";"Species";"Domain";"Realm";"Phylum";"Subphylum";"Class";"Order";"Suborder";"Family";"Subfamily";"Genus"
1;"NC_001798.2";"Human herpesvirus 2 strain HG52";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Herpesviridae";"Alphaherpesvirinae";"Simplexvirus"
2;"NC_030692.1";"Borna disease virus 2";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
3;"NC_027892.1";"Canary bornavirus 2";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
4;"NC_029642.1";"Aquatic bird bornavirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
5;"NC_001607.1";"Borna disease virus 1";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
6;"NC_029548.1";"Pyrobaculum filamentous virus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Tristromaviridae";NA;"Alphatristromavirus"
7;"NC_029556.1";"Pigeonpea sterility mosaic emaravirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Polyploviricotina";"Ellioviricetes";"Bunyavirales";NA;"Fimoviridae";NA;"Emaravirus"
8;"NC_029557.1";"Pigeonpea sterility mosaic emaravirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Polyploviricotina";"Ellioviricetes";"Bunyavirales";NA;"Fimoviridae";NA;"Emaravirus"
9;"NC_029574.1";"Pigeonpea sterility mosaic emaravirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Polyploviricotina";"Ellioviricetes";"Bunyavirales";NA;"Fimoviridae";NA;"Emaravirus"
10;"NC_029575.1";"Pigeonpea sterility mosaic emaravirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Polyploviricotina";"Ellioviricetes";"Bunyavirales";NA;"Fimoviridae";NA;"Emaravirus"
11;"NC_030691.1";"Aquatic bird bornavirus 2";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
12;"NC_017936.1";"Bat sapovirus TLC58/HK";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Caliciviridae";NA;"Sapovirus"
13;"NC_017937.1";"Nariva virus";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Paramyxoviridae";"Orthoparamyxovirinae";"Narmovirus"
14;"NC_017968.1";"Staphylococcus phage TEM123";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Phietavirus"
15;"NC_017973.1";"Mycobacterium phage SWU1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Fromanvirus"
16;"NC_017983.1";"Salisaeta icosahedral phage 1";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
17;"NC_017978.1";"Clostridium phage PhiS63";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
18;"NC_017977.1";"Vallota speciosa virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
19;"NC_017979.1";"Goose adenovirus 4";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Aviadenovirus"
20;"NC_017967.1";"Hippeastrum mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
21;"NC_017970.1";"Sweet potato virus 2";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
22;"NC_017916.1";"Pig stool associated circular ssDNA virus GER2011";"Viruses";NA;NA;NA;NA;NA;NA;"Smacoviridae";NA;NA
23;"NC_017914.1";"Artemisia virus A";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Solemoviridae";NA;"Sobemovirus"
24;"NC_017917.1";"Maize streak Reunion virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
25;"NC_017995.1";"Human papillomavirus type 137";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Gammapapillomavirus"
26;"NC_017997.1";"Human papillomavirus type 144";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Gammapapillomavirus"
27;"NC_018074.1";"Phocoena phocoena papillomavirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Omikronpapillomavirus"
28;"NC_018075.1";"Phocoena phocoena papillomavirus 2";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Upsilonpapillomavirus"
29;"NC_018076.1";"Phocoena phocoena papillomavirus 4";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Dyopipapillomavirus"
30;"NC_029996.1";"Mocis latipes granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
31;"NC_029898.1";"Bat mastadenovirus WIV9";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
32;"NC_029902.1";"Bat mastadenovirus WIV11";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
33;"NC_029899.1";"Bat mastadenovirus WIV10";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
34;"NC_029905.1";"Enterovirus SEV-gx";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Enterovirus"
35;"NC_029990.1";"Maize yellow dwarf virus-RMV2";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Luteoviridae";NA;"Polerovirus"
36;"NC_030200.1";"Macaca nemestrina herpesvirus 7";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Herpesviridae";"Betaherpesvirinae";"Roseolovirus"
37;"NC_030296.1";"Diaphorina citri densovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Densovirinae";"Ambidensovirus"
38;"NC_018082.1";"Cotton leaf curl Multan alphasatellite";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
39;"NC_018088.1";"Colwellia phage 9A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
40;"NC_018091.1";"French bean leaf curl betasatellite-Kanpur";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
41;"NC_030224.1";"Nigrospora oryzae victorivirus 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Totiviridae";NA;"Victorivirus"
42;"NC_030226.1";"Parthenium leaf curl alphasatellite";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
43;"NC_026946.1";"Human papillomavirus KC5";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Gammapapillomavirus"
44;"NC_027199.1";"Bovine nidovirus TCH5";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Tornidovirineae";"Tobaniviridae";NA;NA
45;"NC_027204.1";"Sinorhizobium phage phiM12";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Emdodecavirus"
46;"NC_021190.1";"Enterobacteria phage phi80";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Ravinvirus"
47;"NC_027118.1";"Vibrio phage phiVC8";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Enhodamvirus"
48;"NC_027125.1";"Flavobacterium phage FCL-2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Ficleduovirus"
49;"NC_027120.1";"Lactococcus phage 1358";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
50;"NC_027119.1";"Salmonella phage Det7";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Ackermannviridae";"Cvivirinae";"Kuttervirus"
51;"NC_027122.1";"Vesivirus ferret badger/JX12/China/2012";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Caliciviridae";NA;NA
52;"NC_027133.1";"Kenaf leaf curl betasatellite";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
53;"NC_027213.1";"Raccoonpox virus";"Viruses";NA;NA;NA;NA;NA;NA;"Poxviridae";"Chordopoxvirinae";"Orthopoxvirus"
54;"NC_027294.1";"Propionibacterium phage PHL150M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
55;"NC_027295.1";"Propionibacterium phage PHL199M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
56;"NC_027296.1";"Rhizobium phage RHEph06";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
57;"NC_027329.1";"Salmonella phage vB_SPuM_SP116";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Felixounavirus"
58;"NC_027348.2";"Delftia phage RG-2014";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Jwalphavirus"
59;"NC_027387.1";"Escherichia phage CICC 80001";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
60;"NC_027371.1";"Propionibacterium phage Pacnes 2012-15";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
61;"NC_027404.1";"Yersinia phage PST";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Tequatrovirus"
62;"NC_027369.1";"Escherichia phage EC6";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Felixounavirus"
63;"NC_027344.1";"Salmonella phage STML-198";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Gelderlandvirus"
64;"NC_027383.1";"Escherichia phage YD-2008.s";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Dhillonvirus"
65;"NC_027388.1";"Pseudomonas phage YH6";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
